Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0.000322,0.315,0.65,80.65,80.65,-0.196973266
0.000323,0.307,0.65,80.65,80.65,-0.196973266
0.000324,0.311,0.67,80.67,80.67,-0.197032813
0.000325,0.311,0.65,80.65,80.65,-0.196973266
0.000326,0.311,0.67,80.67,80.67,-0.197032813
0.000327,0.309,0.67,80.67,80.67,-0.197032813
0.000328,0.313,0.67,80.67,80.67,-0.197032813
0.000329,0.307,0.67,80.67,80.67,-0.197032813
0.00033,0.307,0.65,80.65,80.65,-0.196973266
0.000331,0.311,0.65,80.65,80.65,-0.196973266
0.000332,0.311,0.67,80.67,80.67,-0.197032813
0.000333,0.311,0.67,80.67,80.67,-0.197032813
0.000334,0.313,0.67,80.67,80.67,-0.197032813
0.000335,0.311,0.67,80.67,80.67,-0.197032813
0.000336,0.311,0.67,80.67,80.67,-0.197032813
0.000337,0.307,0.69,80.69,80.69,-0.19709236
0.000338,0.311,0.67,80.67,80.67,-0.197032813
0.000339,0.307,0.67,80.67,80.67,-0.197032813
0.00034,0.309,0.67,80.67,80.67,-0.197032813
0.000341,0.311,0.69,80.69,80.69,-0.19709236
0.000342,0.311,0.69,80.69,80.69,-0.19709236
0.000343,0.311,0.69,80.69,80.69,-0.19709236
0.000344,0.311,0.69,80.69,80.69,-0.19709236
0.000345,0.311,0.67,80.67,80.67,-0.197032813
0.000346,0.309,0.69,80.69,80.69,-0.19709236
0.000347,0.307,0.67,80.67,80.67,-0.197032813
0.000348,0.309,0.69,80.69,80.69,-0.19709236
0.000349,0.309,0.69,80.69,80.69,-0.19709236
0.00035,0.311,0.67,80.67,80.67,-0.197032813
0.000351,0.311,0.69,80.69,80.69,-0.19709236
0.000352,0.311,0.67,80.67,80.67,-0.197032813
0.000353,0.311,0.67,80.67,80.67,-0.197032813
0.000354,0.309,0.69,80.69,80.69,-0.19709236
0.000355,0.309,0.69,80.69,80.69,-0.19709236
0.000356,0.311,0.69,80.69,80.69,-0.19709236
0.000357,0.309,0.69,80.69,80.69,-0.19709236
0.000358,0.311,0.67,80.67,80.67,-0.197032813
0.000359,0.309,0.69,80.69,80.69,-0.19709236
0.00036,0.309,0.67,80.67,80.67,-0.197032813
0.000361,0.307,0.67,80.67,80.67,-0.197032813
0.000362,0.307,0.69,80.69,80.69,-0.19709236
0.000363,0.309,0.67,80.67,80.67,-0.197032813
0.000364,0.311,0.69,80.69,80.69,-0.19709236
0.000365,0.309,0.67,80.67,80.67,-0.197032813
0.000366,0.309,0.69,80.69,80.69,-0.19709236
0.000367,0.307,0.69,80.69,80.69,-0.19709236
0.000368,0.307,0.69,80.69,80.69,-0.19709236
0.000369,0.311,0.69,80.69,80.69,-0.19709236
0.00037,0.309,0.69,80.69,80.69,-0.19709236
0.000371,0.311,0.67,80.67,80.67,-0.197032813
0.000372,0.309,0.67,80.67,80.67,-0.197032813
0.000373,0.313,0.69,80.69,80.69,-0.19709236
0.000374,0.309,0.69,80.69,80.69,-0.19709236
0.000375,0.309,0.69,80.69,80.69,-0.19709236
0.000376,0.309,0.69,80.69,80.69,-0.19709236
0.000377,0.307,0.67,80.67,80.67,-0.197032813
0.000378,0.313,0.69,80.69,80.69,-0.19709236
0.000379,0.311,0.69,80.69,80.69,-0.19709236
0.00038,0.311,0.67,80.67,80.67,-0.197032813
0.000381,0.313,0.69,80.69,80.69,-0.19709236
0.000382,0.307,0.67,80.67,80.67,-0.197032813
0.000383,0.309,0.69,80.69,80.69,-0.19709236
0.000384,0.313,0.69,80.69,80.69,-0.19709236
0.000385,0.307,0.69,80.69,80.69,-0.19709236
0.000386,0.311,0.69,80.69,80.69,-0.19709236
0.000387,0.307,0.69,80.69,80.69,-0.19709236
0.000388,0.311,0.69,80.69,80.69,-0.19709236
0.000389,0.309,0.69,80.69,80.69,-0.19709236
0.00039,0.307,0.69,80.69,80.69,-0.19709236
