voltage,wavelength
63.7,-0.15154458 
63.8,-0.15179889 
63.9,-0.15205899 
64,-0.15233976 
64.1,-0.15261545 
64.2,-0.15288662 
64.3,-0.15315225 
64.4,-0.15342170 
64.5,-0.15370239 
64.6,-0.15398801 
64.7,-0.15426101 
64.8,-0.15452184 
64.9,-0.15478439 
65,-0.15507032 
65.1,-0.15535006 
65.2,-0.15562139 
65.3,-0.15589306 
65.4,-0.15616816 
65.5,-0.15645952 
65.6,-0.15676283 
65.7,-0.15705293 
65.8,-0.15732739 
65.9,-0.15759750 
66,-0.15788884 
66.1,-0.15816837 
66.2,-0.15844481 
66.3,-0.15869580 
66.4,-0.15895747 
66.5,-0.15924612 
66.6,-0.15953029 
66.7,-0.15981458 
66.8,-0.16007391 
66.9,-0.16033566 
67,-0.16061107 
67.1,-0.16089929 
67.2,-0.16117237 
67.3,-0.16142562 
67.4,-0.16168729 
67.5,-0.16197607 
67.6,-0.16227412 
67.7,-0.16256260 
67.8,-0.16281993 
67.9,-0.16308568 
68,-0.16336935 
68.1,-0.16366760 
68.2,-0.16394412 
68.3,-0.16420443 
68.4,-0.16448047 
68.5,-0.16477925 
68.6,-0.16507081 
68.7,-0.16534545 
68.8,-0.16560606 
68.9,-0.16587245 
69,-0.16616586 
69.1,-0.16645052 
69.2,-0.16674032 
69.3,-0.16700094 
69.4,-0.16728471 
69.5,-0.16757243 
69.6,-0.16784788 
69.7,-0.16811232 
69.8,-0.16836193 
69.9,-0.16863073 
70,-0.16892635 
70.1,-0.16919465 
70.2,-0.16946622 
70.3,-0.16972265 
70.4,-0.17000712 
70.5,-0.17028855 
70.6,-0.17056662 
70.7,-0.17082407 
70.8,-0.17107758 
70.9,-0.17135219 
71,-0.17163391 
71.1,-0.17190521 
71.2,-0.17215411 
71.3,-0.17240671 
71.4,-0.17267545 
71.5,-0.17296327 
71.6,-0.17322148 
71.7,-0.17348699 
71.8,-0.17374025 
71.9,-0.17398994 
72,-0.17423462 
72.1,-0.17448701 
72.2,-0.17471845 
72.3,-0.17495799 
72.4,-0.17522234 
72.5,-0.17550119 
72.6,-0.17576304 
72.7,-0.17602027 
72.8,-0.17626739 
72.9,-0.17653766 
73,-0.17682230 
73.1,-0.17708050 
73.2,-0.17733380 
73.3,-0.17758078 
73.4,-0.17786494 
73.5,-0.17816175 
73.6,-0.17844660 
73.7,-0.17871686 
73.8,-0.17897329 
73.9,-0.17925348 
74,-0.17953642 
74.1,-0.17980240 
74.2,-0.18004540 
74.3,-0.18028389 
74.4,-0.18055929 
74.5,-0.18084594 
74.6,-0.18113198 
74.7,-0.18139178 
74.8,-0.18164957 
74.9,-0.18192850 
75,-0.18221430 
75.1,-0.18248303 
75.2,-0.18274016 
75.3,-0.18299570 
75.4,-0.18329532 
75.5,-0.18358825 
75.6,-0.18388566 
75.7,-0.18414671 
75.8,-0.18440365 
75.9,-0.18469676 
76,-0.18498827 
76.1,-0.18527329 
76.2,-0.18552362 
76.3,-0.18579563 
76.4,-0.18610221 
76.5,-0.18639950 
76.6,-0.18669121 
76.7,-0.18695381 
76.8,-0.18724598 
76.9,-0.18754750 
77,-0.18782650 
77.1,-0.18810978 
77.2,-0.18838122 
77.3,-0.18866011 
77.4,-0.18894837 
77.5,-0.18923843 
77.6,-0.18952507 
77.7,-0.18979568 
77.8,-0.19007345 
77.9,-0.19032952 
78,-0.19059127 
78.1,-0.19085370 
78.2,-0.19109780 
78.3,-0.19135648 
78.4,-0.19161734 
78.5,-0.19188681 
78.6,-0.19214158 
78.7,-0.19240119 
78.8,-0.19266173 
78.9,-0.19290088 
79,-0.19314096 
79.1,-0.19336462 
79.2,-0.19360324 
79.3,-0.19385494 
79.4,-0.19412745 
79.5,-0.19439529 
79.6,-0.19465035 
79.7,-0.19489914 
79.8,-0.19515891 
79.9,-0.19544478 
80,-0.19572634 
80.1,-0.19599291 
80.2,-0.19623260 
80.3,-0.19648268 
80.4,-0.19676652 
80.5,-0.19703889 
80.6,-0.19728776 
80.7,-0.19753750 
80.8,-0.19781139 
80.9,-0.19812606 
81,-0.19841966 
81.1,-0.19867998 
81.2,-0.19894334 
81.3,-0.19921883 
81.4,-0.19954434 
81.5,-0.19981516 
81.6,-0.20006163 
81.7,-0.20032173 
81.8,-0.20061021 
81.9,-0.20091870 
82,-0.20120588 
82.1,-0.20145699 
82.2,-0.20170203 
82.3,-0.20196919 
82.4,-0.20227030 
82.5,-0.20252606 
82.6,-0.20275827 
82.7,-0.20300116 
82.8,-0.20327637 
82.9,-0.20357571 
83,-0.20384398 
83.1,-0.20408863 
83.2,-0.20432966 
83.3,-0.20459511 
83.4,-0.20488348 
83.5,-0.20515003 
83.6,-0.20538757 
83.7,-0.20562850 
83.8,-0.20590488 
83.9,-0.20620293 
84,-0.20648514 
84.1,-0.20672893 
84.2,-0.20696894 
84.3,-0.20724365 
84.4,-0.20753258 
84.5,-0.20780686 
84.6,-0.20804735 
84.7,-0.20829503 
84.8,-0.20858557 
84.9,-0.20887798 
85,-0.20916917 
85.1,-0.20940296 
85.2,-0.20968470 
85.3,-0.20997309 
85.4,-0.21027921 
85.5,-0.21056817 
85.6,-0.21082234 
85.7,-0.21108265 
85.8,-0.21137776 
85.9,-0.21167783 
86,-0.21194893 
86.1,-0.21219027 
86.2,-0.21245373 
86.3,-0.21272578 
86.4,-0.21301353 
86.5,-0.21326503 
86.6,-0.21350389 
86.7,-0.21375483 
86.8,-0.21404058 
86.9,-0.21431134 
87,-0.21455291 
87.1,-0.21479924 
87.2,-0.21505745 
87.3,-0.21533745 
87.4,-0.21561737 
87.5,-0.21586588 
87.6,-0.21610709 
87.7,-0.21637230 
87.8,-0.21665919 
87.9,-0.21692322 
88,-0.21715955 
88.1,-0.21740011 
88.2,-0.21766632 
88.3,-0.21794921 
88.4,-0.21821055 
88.5,-0.21845450 
88.6,-0.21870124 
88.7,-0.21897488 
88.8,-0.21927143 
88.9,-0.21954373 
89,-0.21977760 
89.1,-0.22002506 
89.2,-0.22030170 
89.3,-0.22060073 
89.4,-0.22088219 
89.5,-0.22114242 
89.6,-0.22141681 
89.7,-0.22171850 
89.8,-0.22203524 
89.9,-0.22232765 
90,-0.22259125 
90.1,-0.22285248 
90.2,-0.22314304 
90.3,-0.22344375 
90.4,-0.22372404 
90.5,-0.22398283 
90.6,-0.22424321 
90.7,-0.22453071 
90.8,-0.22484630 
90.9,-0.22513530 
91,-0.22540750 
91.1,-0.22566334 
91.2,-0.22594363 
91.3,-0.22623196 
91.4,-0.22650009 
91.5,-0.22674825 
91.6,-0.22699139 
91.7,-0.22726688 
91.8,-0.22755442 
91.9,-0.22783243 
92,-0.22807950 
92.1,-0.22832122 
92.2,-0.22858342 
92.3,-0.22884507 
92.4,-0.22909017 
92.5,-0.22930352 
92.6,-0.22953062 
92.7,-0.22978852 
92.8,-0.23005665 
92.9,-0.23031911 
93,-0.23055375 
93.1,-0.23078103 
93.2,-0.23105411 
93.3,-0.23133160 
93.4,-0.23159535 
93.5,-0.23182812 
93.6,-0.23205362 
93.7,-0.23232486 
93.8,-0.23261632 
93.9,-0.23290532 
94,-0.23315816 
94.1,-0.23340489 
94.2,-0.23368806 
94.3,-0.23399648 
94.4,-0.23427188 
94.5,-0.23452327 
94.6,-0.23475840 
94.7,-0.23503530 
94.8,-0.23533711 
94.9,-0.23563304 
95,-0.23590111 
95.1,-0.23615062 
95.2,-0.23644593 
95.3,-0.23674327 
95.4,-0.23703557 
95.5,-0.23729501 
95.6,-0.23754719 
95.7,-0.23782635 
95.8,-0.23811937 
95.9,-0.23840740 
96,-0.23865970 
96.1,-0.23890481 
96.2,-0.23915930 
96.3,-0.23941906 
96.4,-0.23967319 
96.5,-0.23990553 
96.6,-0.24013247 
96.7,-0.24037593 
96.8,-0.24063491 
96.9,-0.24088945 
97,-0.24112745 
97.1,-0.24135393 
97.2,-0.24159906 
97.3,-0.24185383 
97.4,-0.24211935 
97.5,-0.24236370 
97.6,-0.24260373 
97.7,-0.24285235 
97.8,-0.24314068 
97.9,-0.24343375 
98,-0.24370901 
98.1,-0.24398675 
98.2,-0.24427081 
98.3,-0.24457462 
98.4,-0.24488071 
98.5,-0.24516096 
98.6,-0.24542453 
98.7,-0.24570280 
98.8,-0.24602137 
98.9,-0.24634950 
99,-0.24665583 
99.1,-0.24694445 
99.2,-0.24726363 
99.3,-0.24761273 
99.4,-0.24794304 
99.5,-0.24824658 
99.6,-0.24854376 
99.7,-0.24886265 
99.8,-0.24919576 
99.9,-0.24951534 
100,-0.24980384 
100.1,-0.25008811 
100.2,-0.25038680 
100.3,-0.25068365 
100.4,-0.25096003 
100.5,-0.25121455 
100.6,-0.25146362 
100.7,-0.25172140 
100.8,-0.25197811 
100.9,-0.25221568 
101,-0.25243555 
101.1,-0.25265868 
101.2,-0.25290468 
101.3,-0.25315157 
101.4,-0.25338303 
101.5,-0.25360083 
101.6,-0.25382612 
101.7,-0.25406294 
101.8,-0.25430768 
101.9,-0.25453298 
102,-0.25474175 
102.1,-0.25495676 
102.2,-0.25519137 
102.3,-0.25544117 
102.4,-0.25568343 
102.5,-0.25590499 
102.6,-0.25612647 
102.7,-0.25636111 
102.8,-0.25659880 
102.9,-0.25682321 
103,-0.25704694 
103.1,-0.25726850 
103.2,-0.25751434 
103.3,-0.25776925 
103.4,-0.25800117 
103.5,-0.25823378 
103.6,-0.25847329 
103.7,-0.25872611 
103.8,-0.25899322 
103.9,-0.25924621 
104,-0.25948496 
104.1,-0.25975062 
104.2,-0.26002765 
104.3,-0.26031858 
104.4,-0.26059299 
104.5,-0.26084825 
104.6,-0.26110863 
104.7,-0.26138257 
104.8,-0.26167612 
104.9,-0.26197522 
105,-0.26225424 
105.1,-0.26255753 
105.2,-0.26286935 
105.3,-0.26320003 
105.4,-0.26353235 
105.5,-0.26388853 
105.6,-0.26422289 
105.7,-0.26454160 
105.8,-0.26487921 
105.9,-0.26524724 
106,-0.26558124 
106.1,-0.26589573 
106.2,-0.26618960 
106.3,-0.26649370 
106.4,-0.26679525 
106.5,-0.26709425 
106.6,-0.26737771 
106.7,-0.26763765 
106.8,-0.26788863 
106.9,-0.26814591 
107,-0.26839704 
107.1,-0.26863632 
107.2,-0.26885768 
107.3,-0.26910811 
107.4,-0.26939106 
107.5,-0.26966671 
107.6,-0.26992145 
107.7,-0.27015053 
107.8,-0.27041493 
107.9,-0.27071499 
108,-0.27100011 
108.1,-0.27125117 
108.2,-0.27147807 
108.3,-0.27173430 
108.4,-0.27202630 
108.5,-0.27231919 
108.6,-0.27258153 
108.7,-0.27282284 
108.8,-0.27308307 
108.9,-0.27338107 
109,-0.27366837 
109.1,-0.27392427 
109.2,-0.27415511 
109.3,-0.27439591 
109.4,-0.27467847 
109.5,-0.27497178 
109.6,-0.27523812 
109.7,-0.27548252 
109.8,-0.27573676 
109.9,-0.27604750 
110,-0.27635303 
110.1,-0.27663553 
110.2,-0.27687911 
110.3,-0.27712960 
110.4,-0.27742332 
110.5,-0.27771932 
110.6,-0.27799122 
110.7,-0.27824709 
110.8,-0.27849678 
110.9,-0.27878675 
111,-0.27908012 
111.1,-0.27935637 
111.2,-0.27960527 
111.3,-0.27984194 
111.4,-0.28011191 
111.5,-0.28039117 
111.6,-0.28066642 
111.7,-0.28092143 
111.8,-0.28116527 
111.9,-0.28144234 
112,-0.28173271 
112.1,-0.28201327 
112.2,-0.28227747 
112.3,-0.28252230 
112.4,-0.28279221 
112.5,-0.28307543 
112.6,-0.28335475 
112.7,-0.28361480 
112.8,-0.28385958 
112.9,-0.28412660 
113,-0.28441447 
113.1,-0.28469727 
113.2,-0.28496384 
113.3,-0.28521583 
113.4,-0.28548299 
113.5,-0.28576696 
113.6,-0.28604955 
113.7,-0.28631284 
113.8,-0.28656096 
113.9,-0.28682711 
114,-0.28710499 
114.1,-0.28737566 
114.2,-0.28763306 
114.3,-0.28787876 
114.4,-0.28813553 
114.5,-0.28841116 
114.6,-0.28868870 
114.7,-0.28894886 
114.8,-0.28919875 
114.9,-0.28945340 
115,-0.28972791 
115.1,-0.28998047 
115.2,-0.29022350 
115.3,-0.29046311 
115.4,-0.29070847 
115.5,-0.29097675 
115.6,-0.29125139 
115.7,-0.29151468 
115.8,-0.29177165 
115.9,-0.29202440 
116,-0.29228275 
116.1,-0.29254035 
116.2,-0.29278881 
116.3,-0.29303424 
116.4,-0.29327566 
116.5,-0.29351093 
116.6,-0.29377211 
116.7,-0.29402719 
116.8,-0.29427616 
116.9,-0.29451689 
117,-0.29475309 
117.1,-0.29500560 
117.2,-0.29525786 
117.3,-0.29552442 
117.4,-0.29577465 
117.5,-0.29600650 
117.6,-0.29625288 
117.7,-0.29651835 
117.8,-0.29678017 
117.9,-0.29704470 
118,-0.29729052 
118.1,-0.29754680 
118.2,-0.29782466 
