voltage,wavelength
53.6,-0.1243875
53.7,-0.1246785
53.8,-0.1249485
53.9,-0.1252365
54,-0.1255265
54.1,-0.1258345
54.2,-0.1261225
54.3,-0.1263945
54.4,-0.1266735
54.5,-0.1269635
54.6,-0.1272585
54.7,-0.1275465
54.8,-0.1278305
54.9,-0.1281175
55,-0.1284145
55.1,-0.1287125
55.2,-0.1290105
55.3,-0.1292885
55.4,-0.1295745
55.5,-0.1298695
55.6,-0.1301655
55.7,-0.1304485
55.8,-0.1307225
55.9,-0.1309945
56,-0.1312815
56.1,-0.1315665
56.2,-0.1318345
56.3,-0.1321085
56.4,-0.1323845
56.5,-0.1326395
56.6,-0.1328985
56.7,-0.1331615
56.8,-0.1334175
56.9,-0.1336635
57,-0.1339125
57.1,-0.1341735
57.2,-0.1344385
57.3,-0.1347015
57.4,-0.1349535
57.5,-0.1352015
57.6,-0.1354525
57.7,-0.1357235
57.8,-0.1359755
57.9,-0.1362225
58,-0.1364545
58.1,-0.1367135
58.2,-0.1369785
58.3,-0.1372425
58.4,-0.1374875
58.5,-0.1377195
58.6,-0.1379645
58.7,-0.1382265
58.8,-0.1384735
58.9,-0.1387095
59,-0.1389305
59.1,-0.1391705
59.2,-0.1394485
59.3,-0.1397155
59.4,-0.1399585
59.5,-0.1401955
59.6,-0.1404385
59.7,-0.1407105
59.8,-0.1409795
59.9,-0.1412285
60,-0.1414735
60.1,-0.1417205
60.2,-0.1419935
60.3,-0.1422615
60.4,-0.1425025
60.5,-0.1427545
60.6,-0.1430015
60.7,-0.1432595
60.8,-0.1435375
60.9,-0.1438055
61,-0.1440675
61.1,-0.1443365
61.2,-0.1446195
61.3,-0.1449115
61.4,-0.1452005
61.5,-0.1454705
61.6,-0.1457455
61.7,-0.1460335
61.8,-0.1463415
61.9,-0.1466405
62,-0.1469205
62.1,-0.1472025
62.2,-0.1474985
62.3,-0.1477995
62.4,-0.1480815
62.5,-0.1483415
62.6,-0.1485905
62.7,-0.1488705
62.8,-0.1491585
62.9,-0.1494315
63,-0.1496845
63.1,-0.1499395
63.2,-0.1501945
63.3,-0.1504535
63.4,-0.1507175
63.5,-0.1509845
63.6,-0.1512695
63.7,-0.1515515
63.8,-0.1518205
63.9,-0.1520745
64,-0.1523345
64.1,-0.1526155
64.2,-0.1528915
64.3,-0.1531625
64.4,-0.1534275
64.5,-0.1536965
64.6,-0.1539775
64.7,-0.1542635
64.8,-0.1545365
64.9,-0.1547965
65,-0.1550585
65.1,-0.1553445
65.2,-0.1556245
65.3,-0.1558955
65.4,-0.1561665
65.5,-0.1564415
65.6,-0.1567335
65.7,-0.1570375
65.8,-0.1573275
65.9,-0.1576015
66,-0.1578715
66.1,-0.1581635
66.2,-0.1584435
66.3,-0.1587205
66.4,-0.1589715
66.5,-0.1592335
66.6,-0.1595225
66.7,-0.1598065
66.8,-0.1600905
66.9,-0.1603495
67,-0.1606115
67.1,-0.1608875
67.2,-0.1611755
67.3,-0.1614485
67.4,-0.1617015
67.5,-0.1619635
67.6,-0.1622525
67.7,-0.1625505
67.8,-0.1628385
67.9,-0.1630955
68,-0.1633615
68.1,-0.1636455
68.2,-0.1639435
68.3,-0.1642195
68.4,-0.1644795
68.5,-0.1647555
68.6,-0.1650545
68.7,-0.1653455
68.8,-0.1656195
68.9,-0.1658795
69,-0.1661455
69.1,-0.1664385
69.2,-0.1667225
69.3,-0.1670115
69.4,-0.1672715
69.5,-0.1675555
69.6,-0.1678435
69.7,-0.1681185
69.8,-0.1683825
69.9,-0.1686315
70,-0.1689005
70.1,-0.1691965
70.2,-0.1694645
70.3,-0.1697355
70.4,-0.1699915
70.5,-0.1702765
70.6,-0.1705585
70.7,-0.1708365
70.8,-0.1710935
70.9,-0.1713465
71,-0.1716215
71.1,-0.1719035
71.2,-0.1721745
71.3,-0.1724225
71.4,-0.1726745
71.5,-0.1729435
71.6,-0.1732315
71.7,-0.1734895
71.8,-0.1737545
71.9,-0.1740075
72,-0.1742575
72.1,-0.1745025
72.2,-0.1747545
72.3,-0.1749855
72.4,-0.1752245
72.5,-0.1754895
72.6,-0.1757685
72.7,-0.1760305
72.8,-0.1762875
72.9,-0.1765345
73,-0.1768055
73.1,-0.1770905
73.2,-0.1773485
73.3,-0.1776015
73.4,-0.1778485
73.5,-0.1781335
73.6,-0.1784305
73.7,-0.1787155
73.8,-0.1789855
73.9,-0.1792425
74,-0.1795235
74.1,-0.1798065
74.2,-0.1800725
74.3,-0.1803155
74.4,-0.1805545
74.5,-0.1808305
74.6,-0.1811175
74.7,-0.1814035
74.8,-0.1816635
74.9,-0.1819215
75,-0.1822005
75.1,-0.1824865
75.2,-0.1827555
75.3,-0.1830125
75.4,-0.1832685
75.5,-0.1835685
75.6,-0.1838615
75.7,-0.1841585
75.8,-0.1844195
75.9,-0.1846765
76,-0.1849695
76.1,-0.1852605
76.2,-0.1855445
76.3,-0.1857945
76.4,-0.1860665
76.5,-0.1863735
76.6,-0.1866705
76.7,-0.1869615
76.8,-0.1872235
76.9,-0.1875155
77,-0.1878175
77.1,-0.1880965
77.2,-0.1883795
77.3,-0.1886505
77.4,-0.1889295
